stimulus;name_stimulus;cropping_percentage;orientation(0:vertical_1:horizontal);image_ref_position(0:right/down_1:left/up);answer;time_reaction;entropy
17700.000000;contemporary17700.png;591.000000;1.000000;0.000000;left;1.651763;7.756464
9900.000000;contemporary09900.png;355.000000;0.000000;0.000000;left;1.276136;7.747746
2400.000000;contemporary02400.png;354.000000;0.000000;0.000000;right;0.682113;7.731519
10000.000000;contemporary10000.png;518.000000;0.000000;1.000000;left;1.579904;7.723084
11000.000000;contemporary11000.png;141.000000;0.000000;0.000000;left;0.812112;7.716907
8350.000000;contemporary08350.png;344.000000;1.000000;1.000000;left;1.990069;7.705695
13000.000000;contemporary13000.png;419.000000;1.000000;0.000000;left;1.450374;7.702777
2550.000000;contemporary02550.png;568.000000;1.000000;0.000000;left;1.724167;7.649262
2200.000000;contemporary02200.png;192.000000;0.000000;0.000000;right;1.480386;7.633483
6050.000000;contemporary06050.png;374.000000;1.000000;1.000000;left;2.870329;7.623571
8000.000000;contemporary08000.png;483.000000;1.000000;1.000000;left;1.480374;7.612606
2300.000000;contemporary02300.png;273.000000;1.000000;1.000000;right;0.784329;7.596552
12400.000000;contemporary12400.png;253.000000;0.000000;0.000000;left;2.238559;7.593138
11750.000000;contemporary11750.png;307.000000;1.000000;1.000000;left;1.478412;7.588895
11950.000000;contemporary11950.png;461.000000;0.000000;0.000000;left;1.314728;7.585000
17950.000000;contemporary17950.png;377.000000;0.000000;0.000000;left;1.742831;7.584642
6600.000000;contemporary06600.png;293.000000;1.000000;1.000000;right;1.428901;7.522487
6850.000000;contemporary06850.png;205.000000;0.000000;1.000000;left;2.098618;7.512657
6900.000000;contemporary06900.png;305.000000;0.000000;1.000000;left;1.494794;7.502769
2400.000000;contemporary02400.png;245.000000;1.000000;1.000000;right;0.528867;7.487260
2450.000000;contemporary02450.png;213.000000;1.000000;0.000000;right;0.737058;7.472236
2300.000000;contemporary02300.png;510.000000;1.000000;1.000000;right;1.493279;7.457761
5700.000000;contemporary05700.png;489.000000;1.000000;1.000000;left;2.291077;7.447853
10950.000000;contemporary10950.png;225.000000;1.000000;1.000000;left;1.347147;7.442700
2600.000000;contemporary02600.png;464.000000;0.000000;0.000000;left;1.160912;7.401810
6550.000000;contemporary06550.png;562.000000;1.000000;0.000000;left;2.229462;7.392108
11600.000000;contemporary11600.png;605.000000;0.000000;1.000000;left;1.439026;7.387986
2300.000000;contemporary02300.png;449.000000;1.000000;1.000000;right;1.601516;7.373453
16800.000000;contemporary16800.png;291.000000;0.000000;0.000000;left;1.015405;7.372938
18500.000000;contemporary18500.png;388.000000;1.000000;1.000000;left;1.865474;7.372687
8650.000000;contemporary08650.png;426.000000;1.000000;1.000000;left;2.935529;7.363690
8100.000000;contemporary08100.png;231.000000;1.000000;0.000000;left;2.829445;7.354192
2400.000000;contemporary02400.png;343.000000;0.000000;0.000000;right;0.799453;7.340043
4200.000000;contemporary04200.png;477.000000;1.000000;1.000000;left;2.657655;7.325909
18350.000000;contemporary18350.png;215.000000;1.000000;0.000000;left;1.699507;7.325681
12450.000000;contemporary12450.png;415.000000;0.000000;1.000000;left;1.181566;7.323046
16550.000000;contemporary16550.png;336.000000;0.000000;1.000000;left;1.023711;7.322563
13550.000000;contemporary13550.png;308.000000;1.000000;0.000000;left;0.939713;7.320878
9700.000000;contemporary09700.png;126.000000;0.000000;1.000000;left;2.147895;7.314336
2400.000000;contemporary02400.png;513.000000;0.000000;0.000000;left;3.447966;7.278420
13450.000000;contemporary13450.png;510.000000;0.000000;1.000000;left;1.894052;7.276551
6100.000000;contemporary06100.png;298.000000;0.000000;0.000000;left;0.987971;7.268544
2100.000000;contemporary02100.png;593.000000;0.000000;0.000000;right;2.032125;7.254597
17250.000000;contemporary17250.png;562.000000;0.000000;0.000000;left;4.442249;7.254240
15250.000000;contemporary15250.png;326.000000;1.000000;0.000000;left;1.242067;7.253414
14800.000000;contemporary14800.png;296.000000;1.000000;1.000000;left;1.324285;7.252425
